Idtram,Tramite,cluster,log_tiempo,CONTEO_NETO,N_FORMATOS_FINAL,nivel_cat
6779.0,"Visita al Parque Nacional ""El Chico""",6,7.273092595999522,0,0,Sin_nivel
6876.0,Inscripción UTMZ,6,7.273092595999522,4,0,Sin_nivel
6879.0,Examen de Ingreso UTMZ,6,7.273092595999522,1,0,Sin_nivel
6894.0,Solicitud de Examen de Admisión UPMH,5,8.371242135931933,3,0,Nivel 3.7
6895.0,Certificados de Estudios Parciales y Totales UPMH,5,9.469700127423375,3,0,Nivel 3.7
6919.0,Historial Académico UTSH,6,7.273092595999522,1,0,Sin_nivel
6923.0,Reposición de credencial UTSH,6,7.273092595999522,1,0,Sin_nivel
6930.0,Reinsripción UTMZ,0,8.881975184248867,1,0,Nivel 1
6932.0,Constancia Escolar UTMZ,0,7.273092595999522,1,0,Nivel 1
7033.0,Titulación UTHH,3,12.465359101477507,3,0,Nivel 2
7078.0,"Prestación de servicios del Polideportivo, Gimnasio Presidente Miguel Alemán y el estadio de béisbol G. Alfonso Corona del Rosal del Instituto Hidalguense del Deporte",0,2.3978952727983707,0,1,Nivel 1
7111.0,Publicaciones e impresiones (Materia Catastral Intructivo de Valuación),6,8.371242135931933,1,0,Sin_nivel
7140.0,Preinscripción a Preparatoria Abierta,0,3.4339872044851463,2,0,Nivel 1
7147.0,Inscripción a Preparatoria Abierta,0,3.044522437723423,6,0,Nivel 1
7150.0,Certificación de Preparatoria Abierta,0,9.980494888896912,6,0,Nivel 1
7163.0,Constancia de No Infracción.,3,3.4339872044851463,2,1,Nivel 2
7174.0,Constancia de Inscripción de Preparatoria Abierta,0,7.9658927350845286,2,2,Nivel 1
7175.0,Historial Académico de Preparatoria Abierta,0,2.3978952727983707,3,1,Nivel 1
7180.0,Solicitud de exámenes ordinarios de Preparatoria Abierta,0,2.772588722239781,3,0,Nivel 1
7181.0,Solicitud de exámenes extemporáneos de Preparatoria Abierta,0,2.772588722239781,3,0,Nivel 1
7261.0,Inscripción a Nivel Posgrado UPMH,5,7.9658927350845286,6,2,Nivel 3.7
7278.0,Servicios de Laboratorio UTTT,0,9.980494888896912,2,2,Nivel 1
7280.0,Servicios de Evaluación y certificación /Entidad de Certificación y Evaluación UTTT,0,10.673618922112436,1,0,Nivel 1
7281.0,Consultoría y Estudio Técnico UTTT,0,10.268165387743457,3,1,Nivel 1
7291.0,Reinscripción UTVAM,0,7.9658927350845286,2,0,Nivel 4.3
7293.0,Expedición de Historial Académico UTVAM,0,7.9658927350845286,2,0,Nivel 4.3
7328.0,Constancia de Estudios UPT,5,2.3978952727983707,1,0,Nivel 3.7
7329.0,Historial Académico UPT,5,2.3978952727983707,1,0,Nivel 3.7
7335.0,Entrega de apoyos a población vulnerable,6,7.273092595999522,0,0,Sin_nivel
7365.0,"Expedición de información catastral, sin certificación.",0,8.371242135931933,1,1,Nivel 1
7389.0,Equivalencia de Estudios UPP,5,3.9318256327243257,4,1,Nivel 3.7
7394.0,Certificado Parcial de Estudios y/o Carta de Pasante UPP,0,4.2626798770413155,2,0,Nivel 3.8
7397.0,Reposición de credencial escolar UPE,0,8.371242135931933,2,0,Nivel 1
7429.0,Constancia de no Adeudo UPP,3,8.371242135931933,2,2,Nivel 2
7432.0,Certificado de Estudios ITESHU.,0,8.658866349732383,2,0,Nivel 1
7433.0,Constancia Escolar ITESHU.,0,7.273092595999522,1,0,Nivel 1
7434.0,Examen de Egreso de Licenciatura UPT,7,3.044522437723423,1,0,Nivel 4.1
7437.0,Constancia Escolar UPP,5,7.273092595999522,3,0,Nivel 3.7
7442.0,Equivalencia de Estudios UPT,5,2.772588722239781,3,0,Nivel 3.7
7444.0,Certificación UPT,5,3.828641396489095,2,0,Nivel 3.7
7445.0,Credencial Escolar UPT,5,2.772588722239781,1,0,Nivel 3.7
7446.0,Examen Toefl UPT,7,3.044522437723423,1,0,Nivel 4.1
7447.0,Examen de Competencia Profesional UPT,7,3.044522437723423,1,0,Nivel 4.1
7448.0,Examen Extraordinario UPT,7,3.044522437723423,1,0,Nivel 4.1
7449.0,Recurso de Revocación Estatal,0,11.772215778919925,3,0,Nivel 4.2
7463.0,Historial Académico UPP,5,4.2626798770413155,1,0,Nivel 3.7
7467.0,Titulación Nivel Licenciatura/Ingeniería y Posgrado UPP,2,3.713572066704308,7,4,Nivel 3.9
7477.0,Recurso de Revocación Federal,6,11.772215778919925,3,0,Sin_nivel
7479.0,Curso Propedéutico UPP,0,3.044522437723423,2,0,Nivel 1
7488.0,Copias de documentos que obren en la Procuraduría Fiscal del Estado.,6,8.371242135931933,1,1,Sin_nivel
7501.0,Certificado Parcial UTTT,0,3.4339872044851463,1,0,Nivel 1
7502.0,Reposición de credencial UTTT,0,1.791759469228055,1,0,Nivel 1
7524.0,Curso semipresencial ITESHU.,0,7.9658927350845286,1,0,Nivel 1
7528.0,Exámenes Generales de Egreso de la Licenciatura (EGEL) ITESHU.,0,5.707110264748875,1,0,Nivel 1
7538.0,Congresos - Simposios ITESHU.,0,8.371242135931933,1,0,Nivel 1
7570.0,Servicios Tecnológicos tipo I (ITSOEH),6,10.768926997586153,0,0,Sin_nivel
7582.0,Asesoría Técnica ITESHU.,0,9.575052927597383,1,1,Nivel 1
7584.0,Dictamen de equivalencia ITESHU.,0,9.67035679468885,4,1,Nivel 1
7585.0,"Curso de extensión, actualización o educación continua ITESHU.",0,8.371242135931933,1,1,Nivel 1
7586.0,Evaluación de segunda oportunidad ITESHU.,0,5.8888779583328805,1,0,Nivel 1
7588.0,Titulación ITESHU.,0,4.454347296253507,8,1,Nivel 1
7591.0,Capacitación y Certificación a entrenadores Instituto Hidalguense del Deporte,0,2.3978952727983707,3,0,Nivel 1
7619.0,Reposición de Credencial UTVAM,0,7.9658927350845286,2,0,Nivel 4.3
